iter	Passed	Remaining
0	193	193661
1	195	97313
2	195	65124
3	196	49020
4	198	39420
5	199	32997
6	199	28359
7	200	24870
8	201	22158
9	201	19990
10	202	18213
11	203	16732
12	203	15478
13	204	14426
14	205	13514
15	206	12710
16	207	11990
17	208	11354
18	208	10783
19	209	10265
20	210	9801
21	211	9381
22	212	9016
23	213	8686
24	214	8365
25	215	8064
26	215	7781
27	216	7518
28	217	7274
29	217	7046
30	218	6833
31	219	6650
32	221	6478
33	222	6312
34	223	6150
35	224	6002
36	225	5860
37	225	5720
38	227	5595
39	228	5478
40	229	5359
41	229	5244
42	230	5134
43	231	5030
44	232	4931
45	233	4835
46	234	4751
47	235	4666
48	236	4584
49	236	4501
50	237	4421
51	238	4343
52	238	4269
53	239	4198
54	240	4129
55	241	4069
56	242	4013
57	243	3955
58	244	3895
59	244	3838
60	245	3781
61	246	3727
62	247	3676
63	247	3625
64	249	3582
65	250	3539
66	251	3495
67	251	3451
68	252	3408
69	253	3366
70	254	3325
71	254	3285
72	256	3253
73	257	3220
74	258	3185
75	259	3149
76	259	3114
77	260	3080
78	261	3046
79	262	3013
80	262	2980
81	263	2952
82	264	2922
83	265	2894
84	266	2865
85	266	2836
86	267	2808
87	268	2780
88	269	2754
89	269	2729
90	271	2708
91	272	2686
92	272	2662
93	273	2637
94	274	2613
95	275	2590
96	275	2567
97	276	2546
98	277	2524
99	278	2509
100	279	2491
101	280	2471
102	281	2452
103	282	2432
104	283	2413
105	284	2395
106	284	2377
107	286	2362
108	287	2346
109	287	2328
110	288	2310
111	289	2293
112	290	2277
113	290	2260
114	291	2244
115	292	2228
116	293	2214
117	294	2200
118	295	2185
119	295	2170
120	296	2155
121	297	2138
122	298	2125
123	299	2113
124	300	2103
125	301	2093
126	302	2079
127	303	2065
128	303	2052
129	304	2038
130	305	2025
131	306	2012
132	306	2000
133	308	1991
134	309	1980
135	309	1969
136	310	1957
137	311	1946
138	312	1935
139	313	1924
140	314	1914
141	315	1903
142	316	1895
143	317	1886
144	318	1875
145	319	1866
146	320	1857
147	320	1846
148	321	1838
149	323	1831
150	324	1822
151	324	1812
152	325	1803
153	326	1794
154	327	1786
155	328	1778
156	330	1775
157	331	1768
158	332	1759
159	333	1750
160	334	1740
161	334	1732
162	335	1723
163	336	1716
164	337	1709
165	338	1701
166	339	1694
167	340	1687
168	341	1679
169	342	1671
170	343	1664
171	344	1660
172	345	1653
173	347	1647
174	348	1640
175	348	1633
176	350	1627
177	351	1625
178	353	1621
179	354	1616
180	355	1610
181	356	1603
182	357	1597
183	359	1592
184	359	1585
185	360	1578
186	361	1571
187	362	1563
188	362	1556
189	363	1549
190	364	1543
191	365	1536
192	366	1531
193	367	1525
194	367	1518
195	368	1511
196	369	1505
197	369	1498
198	370	1492
199	371	1485
200	372	1479
201	373	1474
202	374	1469
203	374	1463
204	375	1456
205	376	1450
206	377	1444
207	377	1438
208	378	1432
209	379	1426
210	380	1422
211	381	1418
212	382	1412
213	383	1407
214	383	1401
215	384	1396
216	385	1390
217	386	1385
218	386	1379
219	388	1376
220	389	1372
221	390	1366
222	390	1361
223	391	1356
224	392	1351
225	393	1346
226	393	1340
227	395	1337
228	396	1333
229	397	1329
230	397	1324
231	398	1319
232	399	1314
233	400	1310
234	400	1305
235	401	1300
236	403	1297
237	404	1294
238	405	1289
239	405	1285
240	406	1280
241	407	1275
242	408	1271
243	408	1267
244	410	1263
245	411	1260
246	412	1257
247	413	1253
248	414	1249
249	415	1245
250	415	1241
251	416	1237
252	418	1234
253	418	1230
254	419	1226
255	420	1221
256	421	1217
257	422	1214
258	422	1210
259	423	1206
260	425	1203
261	425	1199
262	426	1195
263	427	1191
264	428	1187
265	428	1183
266	429	1179
267	430	1175
268	431	1172
269	432	1169
270	433	1165
271	434	1162
272	434	1158
273	435	1154
274	436	1151
275	437	1147
276	438	1143
277	439	1141
278	440	1137
279	441	1134
280	441	1130
281	442	1127
282	443	1123
283	444	1119
284	444	1116
285	445	1113
286	447	1110
287	448	1107
288	448	1104
289	449	1100
290	450	1097
291	451	1094
292	452	1091
293	453	1088
294	454	1086
295	455	1083
296	456	1080
297	457	1076
298	457	1073
299	458	1070
300	459	1066
301	460	1063
302	461	1061
303	462	1058
304	463	1055
305	464	1052
306	464	1049
307	465	1046
308	466	1043
309	467	1039
310	468	1037
311	469	1035
312	470	1032
313	471	1029
314	471	1026
315	472	1022
316	473	1019
317	474	1016
318	474	1013
319	475	1011
320	477	1009
321	478	1006
322	478	1003
323	479	1000
324	480	997
325	481	994
326	481	991
327	482	989
328	483	986
329	484	984
330	485	981
331	486	978
332	487	975
333	487	972
334	488	969
335	489	966
336	490	964
337	491	962
338	492	959
339	493	957
340	493	954
341	494	951
342	495	948
343	496	946
344	497	943
345	498	941
346	499	939
347	500	936
348	500	934
349	501	931
350	502	929
351	503	926
352	504	924
353	505	922
354	506	920
355	507	917
356	508	915
357	508	912
358	509	909
359	510	907
360	511	904
361	512	903
362	513	901
363	514	898
364	515	896
365	515	893
366	516	890
367	517	888
368	518	885
369	518	883
370	520	881
371	521	879
372	521	877
373	522	874
374	523	872
375	524	869
376	524	867
377	525	864
378	526	863
379	527	861
380	528	859
381	529	856
382	530	854
383	531	852
384	531	849
385	532	847
386	533	845
387	534	843
388	535	841
389	536	839
390	537	836
391	538	834
392	538	832
393	539	830
394	540	827
395	541	825
396	542	824
397	543	821
398	544	819
399	544	817
400	545	815
401	546	812
402	547	810
403	548	808
404	549	806
405	550	804
406	550	802
407	551	800
408	552	798
409	553	796
410	554	793
411	554	791
412	555	789
413	556	788
414	557	786
415	558	784
416	559	781
417	560	779
418	560	777
419	561	775
420	562	773
421	563	771
422	564	770
423	565	768
424	566	766
425	566	763
